ticker,score,rank
FRGE,0.40778187,1.0
INBX,0.33778477,2.0
PUMP,0.3325799,3.0
OLMA,0.32658184,4.0
CGEM,0.29898286,5.0
FULC,0.29365626,6.0
GRWG,0.2674715,7.0
ORGO,0.25605136,8.0
CSTE,0.23402612,9.0
KRRO,0.23367077,10.0
PETS,0.22410627,11.0
NHTC,0.18755136,12.0
REFR,0.1785997,13.0
MNOV,0.15863356,14.0
BW,0.14274597,15.0
FLUX,0.13641846,16.0
CAPR,0.13259968,17.0
AGIO,0.12577415,18.0
ASPI,0.119505435,19.0
ALXO,0.115512095,20.0
CRBP,0.11548785,21.0
CRNC,0.10917296,22.0
NUVB,0.10755095,23.0
RLMD,0.10497602,24.0
DAWN,0.10464009,25.0
COOK,0.10259722,26.0
AHT,0.10248968,27.0
METCB,0.09860535,28.0
YSG,0.09784142,29.0
COGT,0.091735885,30.0
ELVN,0.090245925,31.0
GEOS,0.08834908,32.0
ACH,0.086389765,33.0
CELC,0.08592002,34.0
EDAP,0.084438875,35.0
PLAB,0.08208686,36.5
PSNL,0.08208686,36.5
GGAL,0.07839499,38.0
FLWS,0.07798254,39.0
DMAC,0.075118154,40.0
NESR,0.074058786,41.0
EOLS,0.07166685,42.0
FOSL,0.071008466,43.0
PAR,0.06886134,44.0
TYRA,0.06871603,45.0
CSTL,0.068674624,46.0
BZAI,0.06628562,47.0
GOGO,0.0661765,48.0
MOFG,0.06575056,49.0
INNV,0.06536032,50.0
AUTL,0.061957754,51.0
VLN,0.06098178,52.0
ARDX,0.0605765,53.0
RARE,0.059944212,54.0
LFMD,0.059217893,55.0
HEPS,0.05800607,56.0
INO,0.057254083,57.0
BFLY,0.056730542,58.0
CYH,0.05612233,59.0
INSP,0.056066208,60.0
GDEN,0.055963483,61.0
MXCT,0.055429798,62.0
CLPT,0.055425357,63.0
FTRE,0.05506925,64.0
CNDT,0.05459035,65.0
KOD,0.054519575,66.0
NXDT,0.05450505,67.0
QDEL,0.053389344,68.0
CABO,0.05270916,69.0
EOSE,0.05246898,70.0
EVEX,0.051782105,71.0
BTBT,0.051226128,72.0
HOV,0.05070248,73.0
ERAS,0.050575938,74.0
KNDI,0.050295494,75.0
LFVN,0.050197523,76.0
DNA,0.05014361,77.0
QTRX,0.050132424,78.0
BHC,0.05007757,79.0
EU,0.04994421,80.0
OSS,0.04984797,81.0
NXDR,0.0498275,82.0
ALLO,0.04980011,83.0
KRUS,0.04952235,84.0
OLPX,0.048874617,85.0
OPTU,0.048748545,86.0
INV,0.04873777,87.0
KPTI,0.04870564,88.0
SVV,0.04838643,89.0
FATE,0.048132904,90.0
BLZE,0.04786755,91.0
SSTI,0.04764747,92.5
PHR,0.04764747,92.5
DLTH,0.04751471,94.0
DDL,0.047514226,95.0
EGHT,0.047048368,96.0
CDNA,0.046678748,97.0
CDLX,0.04656055,98.0
CTKB,0.046390843,99.0
CBZ,0.046033274,100.0
GMED,0.04586382,101.0
XOMA,0.04514868,102.0
SDHC,0.0448525,103.0
PRGO,0.04476466,104.0
WSC,0.044698603,105.0
CCCC,0.04393008,106.0
QUIK,0.043912992,107.0
LEGN,0.043545775,108.0
MGNX,0.042983353,109.0
MXL,0.042703707,110.0
JBI,0.042337403,111.5
REAX,0.042337403,111.5
TSSI,0.042331457,113.0
EAF,0.042249244,114.0
ARDT,0.0420051,115.0
HCAT,0.041920282,116.0
AOSL,0.04191554,117.0
INSG,0.041785713,118.0
ADCT,0.04175831,119.0
REPL,0.04170899,120.0
AIRG,0.041583497,121.0
FINV,0.04133482,122.0
BIRD,0.040790062,123.0
HNST,0.040742848,124.0
CEVA,0.040654555,125.0
TTEC,0.04056404,126.0
ASTH,0.040557425,127.0
ARQ,0.04020615,128.0
AFCG,0.04008922,129.0
ALGT,0.04008253,130.0
OCUL,0.039987575,131.0
RBOT,0.039943755,132.0
PAMT,0.039907478,133.0
CERT,0.039858595,134.5
PRKS,0.039858595,134.5
QSI,0.03943769,136.0
DSGN,0.039289784,137.0
CRMT,0.039126713,138.0
CREX,0.03909435,139.0
AMTX,0.039061822,140.0
AMN,0.03894024,141.0
CAL,0.03884623,142.0
FOXF,0.038796,143.0
ZVIA,0.038704146,144.0
CMTL,0.03828733,145.0
CLVT,0.038270637,146.0
NRIX,0.03810442,147.0
NOVT,0.038101416,148.5
ADTN,0.038101416,148.5
EVH,0.03792748,150.0
HSAI,0.03791861,151.0
AEHR,0.037744302,152.0
ESPR,0.037741598,153.0
OSPN,0.037582535,154.0
BHF,0.037532065,155.0
KALV,0.037492376,156.0
AIP,0.037459787,157.0
ORIC,0.03738314,158.0
CMRC,0.037324037,159.0
ALTG,0.037053093,160.5
OABI,0.037053093,160.5
CLOV,0.036990564,162.0
NEOG,0.036873735,163.0
CLW,0.036794595,164.5
BYRN,0.036794595,164.5
EGAN,0.036770534,166.5
IMOS,0.036770534,166.5
DH,0.036755435,168.0
OS,0.03629083,169.0
PMTS,0.036236946,170.0
RGNX,0.03595135,172.0
EYPT,0.03595135,172.0
IMTX,0.03595135,172.0
NRGV,0.035873905,174.0
BLFY,0.035822082,175.0
GDRX,0.03573044,176.0
BOOM,0.035666555,177.0
WEST,0.035637144,178.0
CMPS,0.03545129,179.0
EDIT,0.035126198,180.0
ARES,0.03511291,181.0
MYGN,0.035109125,182.0
RDNW,0.034941453,183.0
LFST,0.034717653,184.5
TRDA,0.034717653,184.5
AVBP,0.034701303,186.0
ALT,0.034495704,187.0
GPMT,0.034489356,188.0
CERS,0.034486543,189.0
PACK,0.034083083,190.0
NBR,0.033999376,191.0
HAE,0.03397735,192.0
BCYC,0.03397422,193.5
ONL,0.03397422,193.5
EWCZ,0.033967745,195.0
GPRO,0.03385332,196.0
RYAM,0.033852823,197.0
NATR,0.033665102,198.0
EMBC,0.033571754,199.5
KNF,0.033571754,199.5
MRVI,0.03351482,201.0
KRNT,0.03345576,202.0
ABT,0.033403557,203.0
PFBC,0.03328196,204.0
ARVN,0.03324006,205.0
ATGE,0.033224184,206.0
OFG,0.03318526,207.0
ONEW,0.033019446,208.0
DSP,0.03300315,209.5
ASTL,0.03300315,209.5
DNLI,0.032875318,211.0
ELME,0.032856744,212.0
CVRX,0.032771267,213.0
PBYI,0.03245334,214.0
DSGX,0.032242294,215.0
EVC,0.0322325,216.0
HNRG,0.032012995,217.0
FUBO,0.031749435,218.0
SEPN,0.03169608,219.0
LZM,0.03168029,220.0
MNY,0.031607598,221.0
NVX,0.03152681,222.0
BDTX,0.03133604,223.0
QRHC,0.031056473,224.0
LOVE,0.031032676,225.0
BRBR,0.031024462,226.0
FIP,0.030733585,227.0
ASUR,0.03059853,228.5
GSHD,0.03059853,228.5
ABCL,0.030516857,230.0
AMSF,0.030479124,231.0
EVER,0.030234355,232.0
FND,0.030069087,233.0
DOUG,0.030012067,234.0
CACC,0.029844496,235.0
PRME,0.029540684,236.0
BXC,0.029050522,237.0
MCW,0.029021619,238.0
MAMA,0.028988518,239.0
BLTE,0.02889822,240.0
ACET,0.028853536,241.0
JMIA,0.028550342,242.0
ALEX,0.028483186,243.0
LEN.B,0.028441425,244.0
BSET,0.028391015,245.0
IPWR,0.028361723,246.0
LXRX,0.028295968,247.0
MPAA,0.028026534,248.0
HDSN,0.02797726,249.0
CNS,0.027882345,250.0
HLLY,0.02787837,251.0
OXM,0.0278633,252.0
ARCT,0.027857156,253.0
ADEA,0.027590469,254.0
CGBD,0.027338712,255.0
OLP,0.027096273,256.0
IART,0.02709372,257.5
GDYN,0.02709372,257.5
CRESY,0.027059186,259.0
GRNQ,0.026968637,260.0
CGON,0.026957517,261.0
FN,0.02692689,262.0
PBI,0.02682636,263.0
VYX,0.026749212,265.5
CNNE,0.026749212,265.5
BBSI,0.026749212,265.5
BFAM,0.026749212,265.5
BANF,0.026497666,268.0
FOLD,0.026473526,269.0
DCBO,0.026421517,270.0
AGYS,0.026378004,271.0
GCO,0.026339922,272.0
RELX,0.026296634,273.0
AVNW,0.026060138,274.5
IIIN,0.026060138,274.5
INGN,0.026013222,276.5
NCMI,0.026013222,276.5
